Epoch [1/200]: Training loss: 1576.967 | Validation loss: 411.720 || Training accuracy: 2.0 % | Validation accuracy: 3.5 %
Epoch [2/200]: Training loss: 1369.852 | Validation loss: 407.307 || Training accuracy: 2.7 % | Validation accuracy: 4.1 %
Epoch [3/200]: Training loss: 1316.547 | Validation loss: 408.967 || Training accuracy: 3.3 % | Validation accuracy: 3.0 %
Epoch [4/200]: Training loss: 1275.625 | Validation loss: 405.971 || Training accuracy: 3.6 % | Validation accuracy: 4.0 %
Epoch [5/200]: Training loss: 1235.218 | Validation loss: 415.980 || Training accuracy: 3.7 % | Validation accuracy: 4.3 %
Epoch [6/200]: Training loss: 1196.214 | Validation loss: 415.218 || Training accuracy: 4.0 % | Validation accuracy: 3.6 %
Epoch [7/200]: Training loss: 1163.064 | Validation loss: 416.680 || Training accuracy: 3.7 % | Validation accuracy: 4.5 %
Epoch [8/200]: Training loss: 1135.681 | Validation loss: 416.826 || Training accuracy: 4.8 % | Validation accuracy: 3.2 %
Epoch [9/200]: Training loss: 1107.770 | Validation loss: 419.306 || Training accuracy: 4.6 % | Validation accuracy: 4.0 %
Epoch [10/200]: Training loss: 1084.001 | Validation loss: 440.092 || Training accuracy: 5.1 % | Validation accuracy: 6.3 %
Epoch [11/200]: Training loss: 1058.377 | Validation loss: 433.009 || Training accuracy: 6.3 % | Validation accuracy: 4.1 %
Epoch [12/200]: Training loss: 1032.540 | Validation loss: 438.761 || Training accuracy: 6.5 % | Validation accuracy: 4.0 %
Epoch [13/200]: Training loss: 1012.978 | Validation loss: 443.877 || Training accuracy: 6.5 % | Validation accuracy: 5.3 %
Epoch [14/200]: Training loss: 991.076 | Validation loss: 444.278 || Training accuracy: 7.2 % | Validation accuracy: 4.8 %
Epoch [15/200]: Training loss: 962.082 | Validation loss: 466.693 || Training accuracy: 7.5 % | Validation accuracy: 3.5 %
Epoch [16/200]: Training loss: 934.233 | Validation loss: 482.509 || Training accuracy: 7.5 % | Validation accuracy: 3.3 %
Epoch [17/200]: Training loss: 913.872 | Validation loss: 490.962 || Training accuracy: 8.6 % | Validation accuracy: 4.1 %
Epoch [18/200]: Training loss: 879.581 | Validation loss: 505.389 || Training accuracy: 10.2 % | Validation accuracy: 4.5 %
Epoch [19/200]: Training loss: 849.385 | Validation loss: 493.786 || Training accuracy: 11.8 % | Validation accuracy: 3.3 %
Epoch [20/200]: Training loss: 815.159 | Validation loss: 519.461 || Training accuracy: 13.7 % | Validation accuracy: 4.3 %
Epoch [21/200]: Training loss: 788.158 | Validation loss: 541.180 || Training accuracy: 15.4 % | Validation accuracy: 4.5 %
Epoch [22/200]: Training loss: 760.339 | Validation loss: 562.271 || Training accuracy: 16.1 % | Validation accuracy: 5.3 %
Epoch [23/200]: Training loss: 719.350 | Validation loss: 595.157 || Training accuracy: 19.5 % | Validation accuracy: 3.2 %
Epoch [24/200]: Training loss: 681.451 | Validation loss: 607.594 || Training accuracy: 23.1 % | Validation accuracy: 3.2 %
Epoch [25/200]: Training loss: 643.050 | Validation loss: 642.548 || Training accuracy: 23.7 % | Validation accuracy: 2.7 %
Epoch [26/200]: Training loss: 611.610 | Validation loss: 644.732 || Training accuracy: 28.2 % | Validation accuracy: 3.5 %
Epoch [27/200]: Training loss: 574.502 | Validation loss: 667.778 || Training accuracy: 30.4 % | Validation accuracy: 2.2 %
Epoch [28/200]: Training loss: 522.630 | Validation loss: 680.566 || Training accuracy: 34.9 % | Validation accuracy: 2.2 %
Epoch [29/200]: Training loss: 484.614 | Validation loss: 732.407 || Training accuracy: 38.1 % | Validation accuracy: 3.0 %
Epoch [30/200]: Training loss: 449.919 | Validation loss: 747.937 || Training accuracy: 43.0 % | Validation accuracy: 2.5 %
Epoch [31/200]: Training loss: 406.860 | Validation loss: 800.323 || Training accuracy: 45.8 % | Validation accuracy: 1.8 %
Epoch [32/200]: Training loss: 372.743 | Validation loss: 817.283 || Training accuracy: 50.6 % | Validation accuracy: 2.2 %
Epoch [33/200]: Training loss: 344.403 | Validation loss: 851.102 || Training accuracy: 53.8 % | Validation accuracy: 2.2 %
Epoch [34/200]: Training loss: 298.801 | Validation loss: 892.706 || Training accuracy: 61.5 % | Validation accuracy: 2.2 %
Epoch [35/200]: Training loss: 261.518 | Validation loss: 971.314 || Training accuracy: 64.0 % | Validation accuracy: 1.5 %
Epoch [36/200]: Training loss: 233.804 | Validation loss: 974.839 || Training accuracy: 68.8 % | Validation accuracy: 2.7 %
Epoch [37/200]: Training loss: 220.828 | Validation loss: 950.822 || Training accuracy: 69.5 % | Validation accuracy: 2.2 %
Epoch [38/200]: Training loss: 190.575 | Validation loss: 1015.207 || Training accuracy: 74.4 % | Validation accuracy: 1.8 %
Epoch [39/200]: Training loss: 167.410 | Validation loss: 1040.639 || Training accuracy: 77.1 % | Validation accuracy: 1.8 %
Epoch [40/200]: Training loss: 157.961 | Validation loss: 1082.863 || Training accuracy: 79.1 % | Validation accuracy: 2.0 %
Epoch [41/200]: Training loss: 150.779 | Validation loss: 1074.568 || Training accuracy: 78.9 % | Validation accuracy: 2.0 %
Epoch [42/200]: Training loss: 152.972 | Validation loss: 1093.118 || Training accuracy: 79.7 % | Validation accuracy: 1.5 %
Epoch [43/200]: Training loss: 123.834 | Validation loss: 1128.076 || Training accuracy: 82.8 % | Validation accuracy: 2.5 %
Epoch [44/200]: Training loss: 122.734 | Validation loss: 1101.663 || Training accuracy: 83.3 % | Validation accuracy: 2.5 %
Epoch [45/200]: Training loss: 107.623 | Validation loss: 1158.007 || Training accuracy: 85.8 % | Validation accuracy: 1.5 %
Epoch [46/200]: Training loss: 85.423 | Validation loss: 1158.408 || Training accuracy: 88.6 % | Validation accuracy: 1.8 %
Epoch [47/200]: Training loss: 118.479 | Validation loss: 1158.054 || Training accuracy: 83.4 % | Validation accuracy: 1.2 %
Epoch [48/200]: Training loss: 93.999 | Validation loss: 1175.283 || Training accuracy: 87.3 % | Validation accuracy: 2.8 %
Epoch [49/200]: Training loss: 87.375 | Validation loss: 1129.873 || Training accuracy: 88.4 % | Validation accuracy: 2.3 %
Epoch [50/200]: Training loss: 78.135 | Validation loss: 1209.977 || Training accuracy: 89.3 % | Validation accuracy: 2.7 %
Epoch [51/200]: Training loss: 77.624 | Validation loss: 1192.609 || Training accuracy: 89.8 % | Validation accuracy: 2.2 %
Epoch [52/200]: Training loss: 73.519 | Validation loss: 1212.930 || Training accuracy: 90.1 % | Validation accuracy: 1.5 %
Epoch [53/200]: Training loss: 85.970 | Validation loss: 1200.045 || Training accuracy: 88.4 % | Validation accuracy: 2.0 %
Epoch [54/200]: Training loss: 69.789 | Validation loss: 1213.717 || Training accuracy: 90.4 % | Validation accuracy: 1.8 %
Epoch [55/200]: Training loss: 70.957 | Validation loss: 1224.365 || Training accuracy: 89.7 % | Validation accuracy: 3.0 %
Epoch [56/200]: Training loss: 79.519 | Validation loss: 1232.721 || Training accuracy: 88.8 % | Validation accuracy: 1.5 %
Epoch [57/200]: Training loss: 66.502 | Validation loss: 1305.296 || Training accuracy: 90.5 % | Validation accuracy: 1.7 %
Epoch [58/200]: Training loss: 68.504 | Validation loss: 1277.801 || Training accuracy: 90.5 % | Validation accuracy: 1.7 %
Epoch [59/200]: Training loss: 64.214 | Validation loss: 1276.680 || Training accuracy: 90.6 % | Validation accuracy: 2.2 %
Epoch [60/200]: Training loss: 71.220 | Validation loss: 1209.190 || Training accuracy: 90.0 % | Validation accuracy: 2.5 %
Epoch [61/200]: Training loss: 57.073 | Validation loss: 1217.028 || Training accuracy: 92.8 % | Validation accuracy: 2.2 %
Epoch [62/200]: Training loss: 44.948 | Validation loss: 1254.345 || Training accuracy: 93.6 % | Validation accuracy: 2.2 %
