Epoch [1/5000]: Training loss: 1056.060 | Validation loss: 288.397 || Training accuracy: 0.6 % | Validation accuracy: 2.2 %
Epoch [2/5000]: Training loss: 1024.845 | Validation loss: 280.643 || Training accuracy: 2.3 % | Validation accuracy: 3.5 %
Epoch [3/5000]: Training loss: 998.493 | Validation loss: 274.161 || Training accuracy: 2.5 % | Validation accuracy: 3.5 %
Epoch [4/5000]: Training loss: 979.748 | Validation loss: 270.464 || Training accuracy: 2.5 % | Validation accuracy: 3.5 %
Epoch [5/5000]: Training loss: 964.678 | Validation loss: 268.033 || Training accuracy: 1.9 % | Validation accuracy: 3.5 %
Epoch [6/5000]: Training loss: 952.651 | Validation loss: 265.490 || Training accuracy: 2.4 % | Validation accuracy: 3.6 %
Epoch [7/5000]: Training loss: 942.454 | Validation loss: 263.473 || Training accuracy: 2.5 % | Validation accuracy: 3.8 %
Epoch [8/5000]: Training loss: 933.779 | Validation loss: 261.766 || Training accuracy: 2.6 % | Validation accuracy: 4.0 %
Epoch [9/5000]: Training loss: 926.268 | Validation loss: 260.341 || Training accuracy: 2.3 % | Validation accuracy: 3.3 %
Epoch [10/5000]: Training loss: 919.552 | Validation loss: 259.212 || Training accuracy: 2.8 % | Validation accuracy: 3.6 %
Epoch [11/5000]: Training loss: 914.100 | Validation loss: 258.265 || Training accuracy: 2.5 % | Validation accuracy: 3.6 %
Epoch [12/5000]: Training loss: 908.644 | Validation loss: 257.580 || Training accuracy: 2.4 % | Validation accuracy: 3.5 %
Epoch [13/5000]: Training loss: 903.931 | Validation loss: 256.794 || Training accuracy: 2.5 % | Validation accuracy: 4.1 %
Epoch [14/5000]: Training loss: 899.880 | Validation loss: 255.907 || Training accuracy: 2.4 % | Validation accuracy: 3.6 %
Epoch [15/5000]: Training loss: 896.481 | Validation loss: 255.700 || Training accuracy: 2.6 % | Validation accuracy: 3.6 %
Epoch [16/5000]: Training loss: 892.876 | Validation loss: 255.366 || Training accuracy: 2.6 % | Validation accuracy: 4.1 %
Epoch [17/5000]: Training loss: 889.907 | Validation loss: 254.939 || Training accuracy: 2.5 % | Validation accuracy: 3.5 %
Epoch [18/5000]: Training loss: 887.155 | Validation loss: 254.575 || Training accuracy: 2.3 % | Validation accuracy: 3.6 %
Epoch [19/5000]: Training loss: 884.484 | Validation loss: 254.600 || Training accuracy: 2.4 % | Validation accuracy: 3.8 %
Epoch [20/5000]: Training loss: 882.000 | Validation loss: 254.103 || Training accuracy: 2.6 % | Validation accuracy: 3.6 %
