Epoch [1/54]: Training loss: nan | Validation loss: nan || Training accuracy: 8.0 % | Validation accuracy: 7.6 %
Epoch [2/54]: Training loss: nan | Validation loss: nan || Training accuracy: 8.1 % | Validation accuracy: 7.6 %
Epoch [3/54]: Training loss: nan | Validation loss: nan || Training accuracy: 8.1 % | Validation accuracy: 7.6 %
Epoch [4/54]: Training loss: nan | Validation loss: nan || Training accuracy: 8.1 % | Validation accuracy: 7.6 %
Epoch [5/54]: Training loss: nan | Validation loss: nan || Training accuracy: 8.1 % | Validation accuracy: 7.6 %
Epoch [6/54]: Training loss: nan | Validation loss: nan || Training accuracy: 8.1 % | Validation accuracy: 7.6 %
Epoch [7/54]: Training loss: nan | Validation loss: nan || Training accuracy: 8.1 % | Validation accuracy: 7.6 %
Epoch [8/54]: Training loss: nan | Validation loss: nan || Training accuracy: 8.1 % | Validation accuracy: 7.6 %
Epoch [9/54]: Training loss: nan | Validation loss: nan || Training accuracy: 8.1 % | Validation accuracy: 7.6 %
Epoch [10/54]: Training loss: nan | Validation loss: nan || Training accuracy: 8.1 % | Validation accuracy: 7.6 %
Epoch [11/54]: Training loss: nan | Validation loss: nan || Training accuracy: 8.1 % | Validation accuracy: 7.6 %
Epoch [12/54]: Training loss: nan | Validation loss: nan || Training accuracy: 8.1 % | Validation accuracy: 7.6 %
Epoch [13/54]: Training loss: nan | Validation loss: nan || Training accuracy: 8.1 % | Validation accuracy: 7.6 %
Epoch [14/54]: Training loss: nan | Validation loss: nan || Training accuracy: 8.1 % | Validation accuracy: 7.6 %
Epoch [15/54]: Training loss: nan | Validation loss: nan || Training accuracy: 8.1 % | Validation accuracy: 7.6 %
Epoch [16/54]: Training loss: nan | Validation loss: nan || Training accuracy: 8.1 % | Validation accuracy: 7.6 %
Epoch [17/54]: Training loss: nan | Validation loss: nan || Training accuracy: 8.1 % | Validation accuracy: 7.6 %
Epoch [18/54]: Training loss: nan | Validation loss: nan || Training accuracy: 8.1 % | Validation accuracy: 7.6 %
Epoch [19/54]: Training loss: nan | Validation loss: nan || Training accuracy: 8.1 % | Validation accuracy: 7.6 %
Epoch [20/54]: Training loss: nan | Validation loss: nan || Training accuracy: 8.1 % | Validation accuracy: 7.6 %
Epoch [21/54]: Training loss: nan | Validation loss: nan || Training accuracy: 8.1 % | Validation accuracy: 7.6 %
Epoch [22/54]: Training loss: nan | Validation loss: nan || Training accuracy: 8.1 % | Validation accuracy: 7.6 %
Epoch [23/54]: Training loss: nan | Validation loss: nan || Training accuracy: 8.1 % | Validation accuracy: 7.6 %
Epoch [24/54]: Training loss: nan | Validation loss: nan || Training accuracy: 8.1 % | Validation accuracy: 7.6 %
Epoch [25/54]: Training loss: nan | Validation loss: nan || Training accuracy: 8.1 % | Validation accuracy: 7.6 %
Epoch [26/54]: Training loss: nan | Validation loss: nan || Training accuracy: 8.1 % | Validation accuracy: 7.6 %
Epoch [27/54]: Training loss: nan | Validation loss: nan || Training accuracy: 8.1 % | Validation accuracy: 7.6 %
Epoch [28/54]: Training loss: nan | Validation loss: nan || Training accuracy: 8.1 % | Validation accuracy: 7.6 %
Epoch [29/54]: Training loss: nan | Validation loss: nan || Training accuracy: 8.1 % | Validation accuracy: 7.6 %
Epoch [30/54]: Training loss: nan | Validation loss: nan || Training accuracy: 8.1 % | Validation accuracy: 7.6 %
Epoch [31/54]: Training loss: nan | Validation loss: nan || Training accuracy: 8.1 % | Validation accuracy: 7.6 %
Epoch [32/54]: Training loss: nan | Validation loss: nan || Training accuracy: 8.1 % | Validation accuracy: 7.6 %
Epoch [33/54]: Training loss: nan | Validation loss: nan || Training accuracy: 8.1 % | Validation accuracy: 7.6 %
